module_path	file	fanout	layers_touched	layer_count	risk
db::executor::aggregate::helpers	crates/icydb-core/src/db/executor/aggregate/helpers.rs	13	executor	1	high
db::executor::aggregate::runtime::grouped_distinct::aggregate	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/aggregate.rs	13	executor	1	high
db::predicate::encoding	crates/icydb-core/src/db/predicate/encoding.rs	13	codec	1	high
db::schema::validate	crates/icydb-core/src/db/schema/validate.rs	13		0	high
types::date	crates/icydb-core/src/types/date.rs	13		0	high
types::decimal	crates/icydb-core/src/types/decimal.rs	13		0	high
types::float::float32	crates/icydb-core/src/types/float/float32.rs	13		0	high
types::float::float64	crates/icydb-core/src/types/float/float64.rs	13		0	high
types::int::int128	crates/icydb-core/src/types/int/int128.rs	13		0	high
types::subaccount	crates/icydb-core/src/types/subaccount.rs	13		0	high
types::ulid	crates/icydb-core/src/types/ulid/mod.rs	13		0	high
db::executor::stream::access::bindings	crates/icydb-core/src/db/executor/stream/access/bindings.rs	12	access,executor,index/storage	3	medium
db::query::intent::model	crates/icydb-core/src/db/query/intent/model.rs	12	intent,query/plan,access	3	medium
db::cursor::token::scalar	crates/icydb-core/src/db/cursor/token/scalar.rs	12	executor,codec	2	medium
db::executor::aggregate::field	crates/icydb-core/src/db/executor/aggregate/field/mod.rs	12	query/plan,executor	2	medium
db::executor::stream::access::scan	crates/icydb-core/src/db/executor/stream/access/scan.rs	12	executor,index/storage	2	medium
db::query::fluent::delete	crates/icydb-core/src/db/query/fluent/delete.rs	12	intent,query/plan	2	medium
db::query::fluent::load::builder	crates/icydb-core/src/db/query/fluent/load/builder.rs	12	intent,query/plan	2	medium
db::query::plan::planner::range	crates/icydb-core/src/db/query/plan/planner/range.rs	12	query/plan,access	2	medium
db::commit::hooks	crates/icydb-core/src/db/commit/hooks.rs	12	index/storage	1	medium
db::commit::rebuild	crates/icydb-core/src/db/commit/rebuild.rs	12	index/storage	1	medium
db::executor::pipeline::entrypoints	crates/icydb-core/src/db/executor/pipeline/entrypoints/mod.rs	12	executor	1	medium
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	12	query/plan	1	medium
types::nat::nat128	crates/icydb-core/src/types/nat/nat128.rs	12		0	medium
db::executor::scan::fast_stream_route	crates/icydb-core/src/db/executor/scan/fast_stream_route/mod.rs	11	query/plan,executor,index/storage	3	medium
db	crates/icydb-core/src/db/mod.rs	11	executor,index/storage	2	medium
db::commit::marker	crates/icydb-core/src/db/commit/marker.rs	11	index/storage,codec	2	medium
