module_path	file	loc	pub_types	pub_fns	match_count	if_count	branch_pressure	max_match_depth	fanout	module_layer	import_layers_touched	upward_imports	cross_layer_imports
db::executor::pipeline::grouped_runtime	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/mod.rs	9	0	0	0	0	0	0	0	executor		0	0
db::executor::pipeline::grouped_runtime::route_stage	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/route_stage.rs	112	0	1	0	1	1	0	10	executor	executor	0	0
db::executor::pipeline::grouped_runtime::runtime	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/runtime.rs	76	1	1	0	0	0	0	4	executor	executor	0	0
db::executor::pipeline	crates/icydb-core/src/db/executor/pipeline/mod.rs	12	0	0	0	0	0	0	0	executor		0	0
db::executor::pipeline::operators::distinct	crates/icydb-core/src/db/executor/pipeline/operators/distinct.rs	292	0	2	1	3	4	1	14	executor	query/plan,executor,index/storage	2	4
db::executor::pipeline::operators	crates/icydb-core/src/db/executor/pipeline/operators/mod.rs	13	0	0	0	0	0	0	0	executor		0	0
db::executor::pipeline::operators::post_access	crates/icydb-core/src/db/executor/pipeline/operators/post_access/mod.rs	470	3	5	0	11	11	0	14	executor	query/plan,executor	5	5
db::executor::pipeline::operators::post_access::order_cursor	crates/icydb-core/src/db/executor/pipeline/operators/post_access/order_cursor.rs	37	0	2	0	0	0	0	6	executor	query/plan,executor	1	1
db::executor::pipeline::operators::post_access::window	crates/icydb-core/src/db/executor/pipeline/operators/post_access/window.rs	38	0	2	1	1	2	1	1	executor	executor	0	0
db::executor::pipeline::operators::reducer	crates/icydb-core/src/db/executor/pipeline/operators/reducer.rs	412	4	2	11	6	17	2	19	executor	query/plan,executor,index/storage	1	2
db::executor::pipeline::orchestrator::guards	crates/icydb-core/src/db/executor/pipeline/orchestrator/guards.rs	41	0	1	0	0	0	0	2	executor	executor	0	0
db::executor::pipeline::orchestrator	crates/icydb-core/src/db/executor/pipeline/orchestrator/mod.rs	384	4	2	7	2	9	1	10	executor	executor	0	0
db::executor::pipeline::orchestrator::payload	crates/icydb-core/src/db/executor/pipeline/orchestrator/payload.rs	129	0	2	2	6	8	1	4	executor	executor	0	0
db::executor::pipeline::orchestrator::state	crates/icydb-core/src/db/executor/pipeline/orchestrator/state.rs	79	5	0	0	0	0	0	5	executor	executor	0	0
db::executor::pipeline::runtime::fast_path	crates/icydb-core/src/db/executor/pipeline/runtime/fast_path/mod.rs	173	0	1	2	1	3	1	11	executor	executor,index/storage	0	3
db::executor::pipeline::runtime::fast_path::strategy	crates/icydb-core/src/db/executor/pipeline/runtime/fast_path/strategy.rs	197	3	4	3	2	5	1	7	executor	executor,index/storage	0	1
db::executor::pipeline::runtime	crates/icydb-core/src/db/executor/pipeline/runtime/mod.rs	89	0	1	0	0	0	0	8	executor	executor	0	0
db::executor::pipeline::stages	crates/icydb-core/src/db/executor/pipeline/stages/mod.rs	12	0	0	0	0	0	0	0	executor		0	0
db::executor::pipeline::stages::planner	crates/icydb-core/src/db/executor/pipeline/stages/planner.rs	59	0	0	0	0	0	0	1	executor	executor	0	0
db::executor::pipeline::stages::stage	crates/icydb-core/src/db/executor/pipeline/stages/stage.rs	60	1	0	1	0	1	1	0	executor		0	0
db::executor::plan_metrics	crates/icydb-core/src/db/executor/plan_metrics.rs	101	1	6	1	0	1	1	3	executor	access	1	1
db::executor::plan_validate	crates/icydb-core/src/db/executor/plan_validate.rs	31	0	1	0	0	0	0	5	executor	query/plan,access	2	2
db::executor::preparation	crates/icydb-core/src/db/executor/preparation.rs	100	1	2	1	0	1	1	9	executor	query/plan,executor,index/storage	1	4
